Metadata_platename,Metadata_platenum,Metadata_well,Count_Nuclei,hc_Count_Nuclei_normalized,hc_Count_Nuclei_z_score,Row,Col,Compound Plate #,Chemical.Name,Treatments,Positive.control
MRMTRP10uM04,12390,L23,0,478.922,0.389,L,23,4,Paroxetine Hydrochloride,DRUG,no
MRMTRP1uM04,12389,L23,0,454.805,0.207,L,23,4,Paroxetine Hydrochloride,DRUG,no
MRMTRP16,12311,L18,0,453.367,0.196,L,18,16,BCC0065491,DRUG,no
MRMTRP11,12301,N23,0,447.227,0.15,N,23,11,BCC0039145,DRUG,no
MRMTRP32,12329,F23,0,426.813,-0.005,F,23,32,BCC0077266,DRUG,no
MRMTRP1uM03,12387,N24,0,423.438,-0.03,N,24,3,Mizolastine,DRUG,no
MRMTRP1uM04,12389,M22,0,416.703,-0.081,M,22,4,Cycloheximide,DRUG,no
MRMTRP17,12398,H21,0,410.133,-0.131,H,21,17,BCC0060251,DRUG,no
MRMTRP1uM04,12389,J12,0,391.625,-0.271,J,12,4,Thonzonium bromide,DRUG,no
MRMTRP1uM04,12389,K16,0,391.367,-0.273,K,16,4,Alexidine dihydrochloride,DRUG,no
MRMTRP1uM04,12389,M16,0,390.398,-0.28,M,16,4,Merbromin,DRUG,no
MRMTRP1uM04,12389,D23,0,388.977,-0.291,D,23,4,Auranofin,DRUG,yes
MRMTRP16,12311,K18,0,387.383,-0.303,K,18,16,BCC0070707,DRUG,no
MRMTRP1uM03,12387,H24,0,378.156,-0.373,H,24,3,Emedastine,DRUG,no
MRMTRP10uM04,12390,M22,0,366.68,-0.46,M,22,4,Cycloheximide,DRUG,no
MRMTRP1uM04,12389,M17,0,364.43,-0.477,M,17,4,Benzethonium chloride,DRUG,no
MRMTRP1uM05,12391,M12,0,364.414,-0.477,M,12,5,Verteporfin,DRUG,no
MRMTRP16,12311,I18,0,341.336,-0.651,I,18,16,BCC0069915,DRUG,no
MRMTRP10uM04,12390,D23,0,340.344,-0.659,D,23,4,Auranofin,DRUG,no
MRMTRP11,12301,H22,0,329.797,-0.739,H,22,11,BCC0034708,DRUG,no
MRMTRP1uM05,12391,L14,0,326.336,-0.765,L,14,5,Flumethasone pivalate,DRUG,no
MRMTRP15,12304,I20,0,325.117,-0.774,I,20,15,BCC0040435,DRUG,no
MRMTRP23,12317,F24,0,317.695,-0.83,F,24,23,BCC0006223,DRUG,no
MRMTRP12,12302,G20,0,310.258,-0.886,G,20,12,BCC0099835,DRUG,no
MRMTRP1uM05,12391,G18,0,277.211,-1.136,G,18,5,Benzylpenicillin sodium,DRUG,no
MRMTRP10uM05,12392,E24,0,242.727,-1.397,E,24,5,Phensuximide,DRUG,no
MRMTRP1uM04,12389,M11,0,232.375,-1.475,M,11,4,Methyl benzethonium chloride,DRUG,no
MRMTRP16,12311,B18,0,178.633,-1.882,B,18,16,BCC0067803,DRUG,no
MRMTRP10uM03,12388,O21,0,177.18,-1.893,O,21,3,Hesperidin,DRUG,no
MRMTRP1uM04,12389,B17,0,156.383,-2.05,B,17,4,Furazolidone,DRUG,no
MRMTRP37,12334,C23,0,156.227,-2.051,C,23,37,BCC0059360,DRUG,no
MRMTRP15,12304,J14,0,141.711,-2.161,J,14,15,BCC0061091,DRUG,no
MRMTRP06,12296,L21,0,132.664,-2.229,L,21,6,BCC0073500,DRUG,no
MRMTRP35,12332,H08,0,128.234,-2.263,H,8,35,BCC0078377,DRUG,no
MRMTRP10uM04,12390,M17,0,89.18,-2.558,M,17,4,Benzethonium chloride,DRUG,no
MRMTRP16,12311,K21,0,74.445,-2.67,K,21,16,BCC0109968,DRUG,no
MRMTRP32,12329,C12,0,19.242,-3.087,C,12,32,BCC0029982,DRUG,no
MRMTRP10uM01,12384,G14,0,13.672,-3.129,G,14,1,GF 109203X,DRUG,no
MRMTRP10uM04,12390,M11,0,-18.359,-3.372,M,11,4,Methyl benzethonium chloride,DRUG,no
MRMTRP10uM05,12392,M11,0,-47.102,-3.589,M,11,5,Letrozole,DRUG,no
MRMTRP09,12299,L15,0,-54.563,-3.645,L,15,9,BCC0064188,DRUG,no
MRMTRP10uM05,12392,B15,0,-86.438,-3.887,B,15,5,Valproic acid,DRUG,no
MRMTRP08,12298,B23,0,-276.148,-5.321,B,23,8,BCC0031596,DRUG,no
MRMTRP10uM04,12390,A21,0,-308.109,-5.563,A,21,4,Pinaverium bromide,DRUG,no
MRMTRP14,12397,L21,0.5,458.055,0.231,L,21,14,BCC0082657,DRUG,no
MRMTRP14,12397,N20,0.5,416.766,-0.081,N,20,14,BCC0029697,DRUG,no
MRMTRP25,12318,P06,0.5,409.234,-0.138,P,6,25,BCC0125080,DRUG,no
MRMTRP10uM05,12392,N23,0.5,394.805,-0.247,N,23,5,Gatifloxacin,DRUG,no
MRMTRP23,12317,L23,0.5,388.43,-0.295,L,23,23,BCC0071787,DRUG,no
MRMTRP1uM04,12389,E18,0.5,361.32,-0.5,E,18,4,Monensin sodium salt,DRUG,no
MRMTRP1uM03,12387,N16,0.5,344.727,-0.626,N,16,3,Folic acid,DRUG,no
MRMTRP15,12304,O24,0.5,342.492,-0.643,O,24,15,BCC0040624,DRUG,no
MRMTRP16,12311,F16,0.5,336.711,-0.686,F,16,16,BCC0050961,DRUG,no
MRMTRP12,12302,L18,0.5,328.5,-0.748,L,18,12,BCC0048876,DRUG,no
MRMTRP18,12312,E22,0.5,313.531,-0.862,E,22,18,BCC0032928,DRUG,no
MRMTRP1uM05,12391,N21,0.5,311.555,-0.877,N,21,5,Fosinopril,DRUG,no
MRMTRP10uM02,12386,E24,0.5,297.258,-0.985,E,24,2,R(-) Apomorphine hydrochloride hemihydrate,DRUG,no
MRMTRP34,12331,J18,0.5,241.477,-1.407,J,18,34,BCC0058571,DRUG,no
MRMTRP1uM04,12389,O06,0.5,238.063,-1.432,O,6,4,Propidium iodide,DRUG,no
MRMTRP36,12333,D23,0.5,237.859,-1.434,D,23,36,BCC0053098,DRUG,no
MRMTRP31,12328,H05,0.5,233.547,-1.467,H,5,31,BCC0047514,DRUG,no
MRMTRP06,12296,B22,0.5,231.188,-1.484,B,22,6,BCC0071399,DRUG,no
MRMTRP1uM03,12387,O21,0.5,219.633,-1.572,O,21,3,Hesperidin,DRUG,no
MRMTRP39,12400,K24,0.5,208.992,-1.652,K,24,39,BCC0038437,DRUG,no
MRMTRP10uM05,12392,G18,0.5,183.453,-1.845,G,18,5,Benzylpenicillin sodium,DRUG,no
MRMTRP1uM01,12383,F19,0.5,176.648,-1.897,F,19,1,Oxamflatin,DRUG,no
MRMTRP15,12304,J19,0.5,174.5,-1.913,J,19,15,BCC0032040,DRUG,no
MRMTRP30,12327,K14,0.5,170.375,-1.944,K,14,30,BCC0090728,DRUG,no
MRMTRP10uM01,12384,K22,0.5,116.313,-2.353,K,22,1,Genistein,DRUG,no
MRMTRP36,12333,A23,0.5,86.047,-2.582,A,23,36,BCC0006403,DRUG,no
MRMTRP10uM03,12388,N15,0.5,53.609,-2.827,N,15,3,Molsidomine,DRUG,no
MRMTRP1uM05,12391,M11,0.5,22.836,-3.06,M,11,5,Letrozole,DRUG,no
MRMTRP06,12296,A23,0.5,-1.32,-3.243,A,23,6,BCC0032340,DRUG,no
MRMTRP1uM01,12383,G14,0.5,-63.047,-3.71,G,14,1,GF 109203X,DRUG,no
MRMTRP24,12399,G19,0.5,-84.578,-3.872,G,19,24,BCC0036202,DRUG,no
MRMTRP13,12303,H12,0.5,-97.672,-3.971,H,12,13,BCC0064249,DRUG,no
MRMTRP10uM05,12392,O13,0.5,-189.844,-4.669,O,13,5,Alcuronium chloride,DRUG,no
MRMTRP1uM05,12391,B15,0.5,-268.344,-5.262,B,15,5,Valproic acid,DRUG,no
MRMTRP1uM04,12389,L20,1,447.719,0.153,L,20,4,Iodipamide,DRUG,no
MRMTRP13,12303,L20,1,426.977,-0.004,L,20,13,BCC0052501,DRUG,no
MRMTRP31,12328,H24,1,410.625,-0.127,H,24,31,BCC0057913,DRUG,no
MRMTRP35,12332,D24,1,397.344,-0.228,D,24,35,BCC0038725,DRUG,no
MRMTRP1uM01,12383,F23,1,376.844,-0.383,F,23,1,Suramin·6Na,DRUG,yes
MRMTRP10uM03,12388,N24,1,355.695,-0.543,N,24,3,Mizolastine,DRUG,no
MRMTRP1uM04,12389,I10,1,325.094,-0.774,I,10,4,Furaltadone hydrochloride,DRUG,no
MRMTRP12,12302,J22,1,314.844,-0.852,J,22,12,BCC0100838,DRUG,no
MRMTRP33,12330,D21,1,310.547,-0.884,D,21,33,BCC0069344,DRUG,no
MRMTRP10,12300,K17,1,282.359,-1.097,K,17,10,BCC0103301,DRUG,no
MRMTRP32,12329,N23,1,271.078,-1.183,N,23,32,BCC0032778,DRUG,no
MRMTRP22,12316,J21,1,266.781,-1.215,J,21,22,BCC0090879,DRUG,no
MRMTRP33,12330,J09,1,252.273,-1.325,J,9,33,BCC0046714,DRUG,no
